duree,date,line_num,line_type,what,type_inc
0 days 00:01:00.000000000,2018-11-16 11:40:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:42:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 11:43:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:45:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:46:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:47:00,6,metro,breakdown,unscheduled
0 days 00:02:00.000000000,2018-11-16 11:48:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:51:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:52:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:53:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:54:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:55:00,6,metro,breakdown,unscheduled
0 days 00:02:00.000000000,2018-11-16 11:56:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 11:59:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 12:00:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:02:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 12:03:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 12:05:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:07:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:08:00,6,metro,breakdown,unscheduled
0 days 00:02:00.000000000,2018-11-16 12:09:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:12:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 12:13:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:15:00,A,rer,safety,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:15:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 12:16:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 12:18:00,6,metro,breakdown,unscheduled
0 days 00:01:00.000000000,2018-11-16 12:18:00,A,rer,safety,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:20:00,6,metro,breakdown,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:21:00,A,rer,safety,unscheduled
0 days 00:00:00.000000000,2018-11-16 12:21:00,6,metro,breakdown,unscheduled
